frame,event,classification,raw_horizontal,raw_offset,related,screen_x,screen_x_copy,normalized
3552,,ARM_LEFT,-113.38831329346,-115.38831329346,-3.3066990375519,138.25639343262,138.25639343262,0.06545877456665
3553,,ARM_LEFT,-113.38831329346,-115.38831329346,-3.3066990375519,138.25639343262,138.25639343262,0.11358821392059
3554,,ARM_LEFT,-113.38831329346,-115.38831329346,-3.4802904129028,138.25639343262,138.25639343262,0.11358821392059
3555,,ARM_LEFT,-148.35021972656,-150.35021972656,-3.4802904129028,131.41923522949,131.41923522949,0.14882242679596
3557,,ARM_LEFT,-173.86239624023,-175.86239624023,-3.5177369117737,126.36245727539,126.36245727539,0.17470872402191
3559,,ARM_LEFT,-192.51150512695,-194.51150512695,-3.463698387146,122.62247467041,122.62247467041,0.19369208812714
3561,,ARM_LEFT,-143.59188842773,-145.59188842773,-3.3481621742249,132.35559082031,132.35559082031,0.14407646656036
3563,,ARM_LEFT,-106.69999694824,-108.69999694824,-2.6980729103088,139.55419921875,139.55419921875,0.14407646656036
3564,,ARM_LEFT,-106.69999694824,-108.69999694824,-2.6980729103088,139.55419921875,139.55419921875,0.10687696933746
3565,,ARM_LEFT,-106.69999694824,-108.69999694824,-2.1794414520264,139.55419921875,139.55419921875,0.10687696933746
3566,,ARM_LEFT,-79.119621276855,-81.119621276855,-2.1794414520264,144.87828063965,144.87828063965,0.079169034957886
3568,,ARM_LEFT,-58.600006103516,-60.600006103516,-1.7622668743134,148.81597900391,148.81597900391,0.058603644371033
3570,,ARM_LEFT,-43.374294281006,-45.374294281006,-1.4260475635529,151.72830200195,151.72830200195,0.043359518051147
3572,,ARM_LEFT,-32.093330383301,-34.093330383301,-1.1573755741119,153.8822479248,153.8822479248,0.043359518051147
3573,,ARM_LEFT,-32.093330383301,-34.093330383301,-1.1573755741119,153.8822479248,153.8822479248,0.032046318054199
3574,,ARM_LEFT,-32.093330383301,-34.093330383301,-0.94815027713776,153.8822479248,153.8822479248,0.032046318054199
3575,,ARM_LEFT,-23.741762161255,-25.741762161255,-0.94815027713776,155.4753112793,155.4753112793,0.023657202720642
3577,,ARM_LEFT,-17.561681747437,-19.561681747437,-0.79480677843094,156.65353393555,156.65353393555,0.017521142959595
3579,,ARM_CENTERED,-12.989476203918,-14.989476203918,-0.70507538318634,157.52496337891,157.52496337891,0.012919187545776
3581,,ARM_CENTERED,-9.6073770523071,-11.607377052307,-0.6849879026413,158.16946411133,158.16946411133,0.009515643119812
3583,,ARM_CENTERED,-9.6073770523071,-11.607377052307,-0.73539340496063,158.16946411133,158.16946411133,0.009515643119812
3584,,ARM_CENTERED,-7.105776309967,-9.1057758331299,-0.73539340496063,158.64613342285,158.64613342285,0.0070228576660156
