rank,address_hex,kind,score,base,move_x,move_z,rotate,delta_x,delta_z,delta_rotate
1080,0x000D3640,Z_CANDIDATE,-0.0010211704066023,-0.0024814857169986,-0.0012407032772899,0.00034527468960732,0.00012566265650094,0.0012407824397087,0.0028267604066059,0.0026071483734995
1081,0x000D3634,Z_CANDIDATE,-0.0010765068000183,0.002526368945837,0.0012352844933048,-0.00034776295069605,-0.00013318529818207,0.0012910844525322,0.0028741318965331,0.0026595542440191
1082,0x000F8F04,X_CANDIDATE,-0.0013373595429584,-0.0013373595429584,0.0,0.0,0.0,0.0013373595429584,0.0013373595429584,0.0013373595429584
1083,0x003B2EE8,Z_CANDIDATE,-0.0013895034790039,0.49710756540298,0.49571806192398,-0.0,-0.0,0.0013895034790039,0.49710756540298,0.49710756540298
1084,0x000D3DB8,X_CANDIDATE,-0.0013951263390481,-0.030859058722854,-0.0043293558992445,-0.0099150082096457,-0.037839837372303,0.026529702823609,0.020944050513208,0.0069807786494493
1085,0x000D3638,ROTATION_CANDIDATE,-0.0014168519992381,0.0012266740668565,-0.00069182831794024,-0.00039836019277573,-0.00090001057833433,0.0019185023847967,0.0016250342596322,0.0021266846451908
1086,0x000D3650,ROTATION_CANDIDATE,-0.0014965948648751,-0.0013151033781469,0.00068206060677767,0.00040052365511656,0.00090109277516603,0.0019971639849246,0.0017156270332634,0.0022161961533129
1087,0x000D36B4,X_CANDIDATE,-0.001935425971169,-0.00068799470318481,0.001512092188932,-0.002767521655187,-0.0027439806144685,0.0022000868921168,0.0020795269520022,0.0020559859112836
1088,0x000816C0,ROTATION_CANDIDATE,-0.0021514892578125,95.556365966797,95.352157592773,96.302307128906,94.608367919922,0.20420837402344,0.74594116210938,0.947998046875
1089,0x000D3C48,X_CANDIDATE,-0.0022203591652215,0.030292976647615,0.0042592813260853,0.0097701922059059,0.038024246692657,0.02603369532153,0.02052278444171,0.007731270045042
1090,0x000D3DE4,Z_CANDIDATE,-0.0023542884737253,0.022653460502625,0.018513791263103,-0.0098523031920195,-0.0080669224262238,0.004139669239521,0.032505763694644,0.030720382928848
1091,0x000D3DC4,X_CANDIDATE,-0.0024489536881447,-0.030416445806623,-0.0044407667592168,-0.0096107935532928,-0.038035426288843,0.025975679047406,0.02080565225333,0.0076189804822206
1092,0x000D3DB0,Z_CANDIDATE,-0.0024620564654469,0.018934663385153,0.021449597552419,-0.01018659491092,-0.010133717209101,0.0025149341672659,0.029121258296072,0.029068380594254
1093,0x000D3654,Z_CANDIDATE,-0.0025084363296628,0.0035138898529112,0.00079306261613965,0.00062229111790657,0.00083468202501535,0.0027208272367716,0.0028915987350047,0.0026792078278959
1094,0x000D3648,Z_CANDIDATE,-0.0025490005500615,-0.0035457285121083,-0.00078455591574311,-0.00062367413192987,-0.00083584617823362,0.0027611725963652,0.0029220543801785,0.0027098823338747
1095,0x000D3708,ROTATION_CANDIDATE,-0.0031331684440374,0.0034992550499737,0.0066691725514829,0.0081561086699367,0.0081928577274084,0.0031699175015092,0.0046568536199629,0.0046936026774347
