frame,event,state,gate_enabled,attempt,memory_remaining,ready_count,result_elapsed,kill_confirm_count,screen_x,screen_x_copy,raw_horizontal,normalized,soldier_state_a,soldier_state_b,soldier_pointer_hex,arm_ready,raw_detected,normalized_detected,auto_aim_detected,pointer_dead,state_a_dead,state_b_dead,strong_kill,medium_kill,kill_candidate
46146,SAMPLE,COMPLETE,false,2,44,2,90,0,165.13192749023,165.13192749023,26.925470352173,-0.026869297027588,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46148,SAMPLE,COMPLETE,false,2,44,2,90,0,163.79557800293,163.79557800293,19.917503356934,-0.019870281219482,0,0,0x801FABDC,false,false,false,false,false,false,false,false,false,false
46150,SAMPLE,COMPLETE,false,2,44,2,90,0,162.8072052002,162.8072052002,14.732341766357,-0.014645099639893,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46152,SAMPLE,COMPLETE,false,2,44,2,90,0,161.78553771973,161.78553771973,9.3712139129639,-0.0093235969543457,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46154,SAMPLE,COMPLETE,false,2,44,2,90,0,161.3205871582,161.3205871582,6.9311118125916,-0.0068793296813965,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46156,SAMPLE,COMPLETE,false,2,44,2,90,0,161.3205871582,161.3205871582,6.9311118125916,-0.0068793296813965,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46158,SAMPLE,COMPLETE,false,2,44,2,90,0,160.9766998291,160.9766998291,5.1262741088867,-0.0050573348999023,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46160,SAMPLE,COMPLETE,false,2,44,2,90,0,160.72236633301,160.72236633301,3.7914116382599,-0.0037150382995605,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46162,SAMPLE,COMPLETE,false,2,44,2,90,0,160.53427124023,160.53427124023,2.8041851520538,-0.0027084350585938,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46164,SAMPLE,COMPLETE,false,2,44,2,90,0,160.39514160156,160.39514160156,2.0739505290985,-0.0019893646240234,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46166,SAMPLE,COMPLETE,false,2,44,2,90,0,160.29225158691,160.29225158691,1.5339210033417,-0.0014619827270508,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46168,SAMPLE,COMPLETE,false,2,44,2,90,0,160.21614074707,160.21614074707,1.1344438791275,-0.0010786056518555,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46170,SAMPLE,COMPLETE,false,2,44,2,90,0,160.15986633301,160.15986633301,0.83908021450043,-0.0010786056518555,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46172,SAMPLE,COMPLETE,false,2,44,2,90,0,160.15986633301,160.15986633301,0.83908021450043,-0.00079107284545898,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46174,SAMPLE,COMPLETE,false,2,44,2,90,0,160.11824035645,160.11824035645,0.62060081958771,-0.00055122375488281,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46176,SAMPLE,COMPLETE,false,2,44,2,90,0,160.08744812012,160.08744812012,0.45898351073265,-0.00040769577026367,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46178,SAMPLE,COMPLETE,false,2,44,2,90,0,160.06468200684,160.06468200684,0.33949247002602,-0.00031137466430664,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
46180,SAMPLE,COMPLETE,false,2,44,2,90,0,160.04783630371,160.04783630371,0.25107544660568,-0.00021553039550781,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
